
davaj,  return
cotoe,  var_dump
povedz, echo
pyco,   ;
toz,    define
zomri,  die

// pole
pole,               array
pole_ma_klic,       array_key_exists
pole_ma_hodnotu,    in_array

// vstup/výstup
citaj, file_get_contents
pisaj, file_put_contents

// datové typy
bul,                bool
cyslo,              int
cyslo_desetinne,    float
dryst,              string

// jazykové konstanty
fajne,              true
nyt,                false
chuj,               null

// kontrolní struktury
kaj,        if
koneckaj,   endif
kajtez,     else if
boinak,     else
rubat,      while
zdybat,     break
dlabat,     continue

// klíčová slova spojená s OOP
moe,        private
tryda,      class
mezigzycht, interface
makacenko,  function
kuka,       implements
fagan_od,   extends
__rynek,    __construct
$joch,      $this
forant,     parent
zrob,       new
