//
// Zdroje překladů:
// https://github.com/tkohout/OSTRAJava
// https://cestina20.cz/
// https://www.vysokeskoly.cz/clanek/cajzli-arab-oharek-aneb-jak-porozumet-svym-spoluzakum-z-moravy
// https://images.uncyclomedia.co/necyklopedie/cs/7/70/Ostrav%C5%A1tina_snadno_a_rychle.pdf
//
// Každý záznam má vždy minimálně 2 sloupce.
// Vyřazený token má ve 3. sloupci určený náhradní token.
//
// <OstraPHP token>, <PHP token>[, <náhradní token>]
//
// Tokeny jsou rozděleny do kategorií.
// Ty jsou pak alfabeticky seřazeny podle PHP tokenu.
// Nevyřazená definice má přednost.
//

pyco,       ;
$_BEBECHY,  $_POST
rachuj,     count
toz,        define
chlampaj,   die
je,         isset
chuj,       null
ostrihej,   trim

// načítání PHP souborů
chcu,           require
chcu_jednou,    require_once

// funkce
makacenko,  function
davaj,      return
pouzij,     use

// dryst
povedz,         echo
citaj_dryst,    mb_strlen
prevypravej,    mb_substr
dryst,          string
cotoe,          var_dump
oprav_dryst,    str_replace
zacina_dryst,   str_starts_with
konci_dryst,    str_ends_with

citaj_bayty,        strlen
prevypravej_bayty,  substr_replace

// pole
pole,               array
vylystovat_z_pole,  array_filter
je_klyc_na_poly,    array_key_exists
hod_do_pola,        array_push
seber_z_pole,       array_pop
je_vec_na_poly,     in_array
stumedluj,          sort

rnuj,       explode
zmackni,    implode

// vstup/výstup
cekni,          file_exists
citaj,          file_get_contents
pisaj,          file_put_contents
je_kisna,       is_dir
je_bichla,      is_file
zrob_kisnu,     mkdir

// čísla
cyslo_desetinne,    float
cyslo,              int

// bul
bul,    bool
nyt,    false
fajne,  true

// kontrolní struktury
ako,        as
zdybat,     break
pripad,     case
dlabat,     continue
kajtez,     else if
boinak,     else
koneckaj,   endif
vycet,      enum
pro,        for
kazdy,      foreach
kaj,        if
bacias,     sleep
rubat,      while

// klíčová slova spojená s OOP
$joch,      $this
__rynek,    __construct
tryda,      class
fagan_od,   extends
gront,      global
kuka,       implements
mezigzycht, interface
zrob,       new
forant,     parent
moe,        private
nase,       public

// try/catch
zkus,   try
fasuj,  catch

// chybové konstanty
CypDeliNulou,   DivisionByZeroError
